id,name,description
292,Norgestimate and Ethinyl Estradiol,"Major laceration of heart with hemopericardium, subsequent encounter"
293,SODIUM FLUORIDE,"Puncture wound without foreign body of unspecified part of thorax, sequela"
294,Saline,"Unspecified fracture of lower end of right femur, initial encounter for open fracture type I or II"
295,Promethazine Hydrochloride,"Other fracture of upper end of right tibia, subsequent encounter for closed fracture with delayed healing"
296,"HYDROCORTISONE ACETATE, IODOQUINOL","Nondisplaced fracture of lateral condyle of right tibia, subsequent encounter for open fracture type I or II with malunion"
297,Dimethicone,"Displaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for open fracture"
298,triclosan,Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident
299,aprepitant,Encounter for other administrative examinations
300,Lorazepam,Malignant neoplasm of other and unspecified parts of mouth
301,DOXYCYCLINE HYCLATE,"Jumping or diving from boat striking bottom causing other injury, subsequent encounter"
302,Warfarin Sodium,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity"
303,Oxygen-Nitrogen Mixture,Lacrimal fistula left lacrimal passage
304,"Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",Occupational exposure to vibration
305,TOPIRAMATE,Unspecified epiphora
306,alcohol,"Injury of nerve root of cervical spine, subsequent encounter"
307,Divalproex sodium,"Displaced fracture of intermediate cuneiform of right foot, subsequent encounter for fracture with routine healing"
308,Losartan Potassium,"Other fracture of second metacarpal bone, left hand, subsequent encounter for fracture with malunion"
309,Octinoxate and Zinc Oxide,"Other specified dorsopathies, thoracolumbar region"
310,aliskiren hemifumarate and hydrochlorothiazide,"Burn of first degree of left scapular region, initial encounter"
311,COLESTIPOL HYDROCHLORIDE,"Other mechanical complication of electronic bone stimulator, sequela"
312,DIPHENHYDRAMINE HYDROCHLORIDE and PHENYLEPHRINE HYDROCHLORIDE,"Laceration of urethra, subsequent encounter"
313,TITANIUM DIOXIDE,Squamous cell carcinoma of anal skin
314,levothyroxine sodium tablets,"Displaced comminuted fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with routine healing"
315,Lisinopril,Traumatic cerebral edema with loss of consciousness of 1 hour to 5 hours 59 minutes
316,Metoprolol tartrate,"Burn of second degree of right scapular region, sequela"
317,SULFUR,"Puncture wound without foreign body of left shoulder, sequela"
318,sennosides,"Nondisplaced fracture of body of hamate [unciform] bone, unspecified wrist, initial encounter for open fracture"
319,Triclosan,"Other injury of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, subsequent encounter"
320,Amoxicillin and Clavulanate Potassium,"Open bite of right little finger with damage to nail, initial encounter"
321,metoprolol tartrate,"Sacroiliitis, not elsewhere classified"
322,Octinoxate and Titanium dioxide,Pressure ulcer of buttock
323,Pravastatin Sodium,Encounter for ear piercing
324,Anticoagulant Citrate Phosphate Dextrose Adenine,"Partial traumatic transphalangeal amputation of unspecified thumb, initial encounter"
325,Triclosan,"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
326,Triclosan,"Drowning and submersion due to other unpowered watercraft sinking, initial encounter"
327,Acetaminophen,"Breakdown (mechanical) of esophageal anti-reflux device, sequela"
328,Asparagus,Bus occupant (driver) (passenger) injured in other specified transport accidents
329,Loperamide Hydrochloride,"Displaced fracture of glenoid cavity of scapula, left shoulder"
330,"Octinoxate, Oxybenzone, and Titanium Dioxide",Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration
331,estradiol and norethindrone acetate,"Poisoning by butyrophenone and thiothixene neuroleptics, accidental (unintentional)"
332,Salicylic Acid,"Blepharochalasis left eye, unspecified eyelid"
333,Oat Grain,"Poisoning by smallpox vaccines, accidental (unintentional), subsequent encounter"
334,Bismuth subsalicylate,"Puncture wound without foreign body of right lesser toe(s) without damage to nail, subsequent encounter"
335,Prednisone,"Congenital malformation of tricuspid valve, unspecified"
336,"Angelica Archangelica, Caulophyllum Thalictroides, Disoscorea Villosa, Oophorinum (Suis) Thyroidinum (Suis), Uterus (Suis), Zincum Gluconicum","Brown-Sequard syndrome at C6 level of cervical spinal cord, initial encounter"
337,Diphenhydramine HCl,"Other mechanical complication of internal fixation device of bone of right lower leg, sequela"
338,MAGNESIUM CITRATE,"Other specified injury of unspecified blood vessel at hip and thigh level, left leg"
339,Miconazole nitrate,"Pathological fracture, left femur, initial encounter for fracture"
340,Ciprofloxacin,"Superficial frostbite of right arm, initial encounter"
341,BISACODYL,"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing"
342,Titanium Dioxide,"Laceration of axillary or brachial vein, unspecified side, initial encounter"
343,Bupropion Hydrochloride,"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with malunion"
344,Aluminum Zirconium Tetrachlorohydrex GLY,"Underdosing of peripheral vasodilators, subsequent encounter"
345,Ibuprofen,"Exposure to laser radiation, subsequent encounter"
346,Curly Dock,"Basal cell carcinoma of skin of left lower limb, including hip"
347,Nortriptyline Hydrochloride,"Pedal cycle passenger injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
348,oxycodone hydrochloride and acetaminophen,"Unspecified fracture of fifth lumbar vertebra, sequela"
349,betamethasone valerate,Other specified mycoses
350,Ondansetron Hydrochloride,"Puncture wound without foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
351,dexmethylphenidate hydrochloride,Subluxation of unspecified thoracic vertebra
352,Ampicillin,Secondary malignant neoplasm of breast
353,Mountain Cedar,Adverse effect of other antidysrhythmic drugs
354,"Dextromethorphan HBr, Guaifenesin","Unspecified injury of adductor muscle, fascia and tendon of unspecified thigh, initial encounter"
355,Willow Black,"Nondisplaced fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with routine healing"
356,Sodium Fluoride,"War operation involving nuclear radiation effects of nuclear weapon, military personnel, sequela"
357,amlodipine besylate and atorvastatin calcium,"Crushing injury of unspecified part(s) of unspecified wrist, hand and fingers, sequela"
358,Benzocaine,"Bitten by other nonvenomous marine animals, initial encounter"
359,liquidambar styraciflua pollen,"Strain of intrinsic muscle and tendon at ankle and foot level, right foot"
360,Sodium Fluoride,"Displacement of unspecified cardiac and vascular devices and implants, initial encounter"
361,Benzalkonium chloride,Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed
362,levetiracetam,"Dislocation of other carpometacarpal joint of left hand, initial encounter"
363,Levothyroxine Sodium,"Driver of pick-up truck or van injured in collision with other motor vehicles in traffic accident, initial encounter"
364,Risperidone,Bathroom in other non-institutional residence as the place of occurrence of the external cause
365,levofloxacin,"Idiopathic chronic gout, left hand, without tophus (tophi)"
366,Alprazolam,Other specified postprocedural states
367,Hydralazine Hydrochloride,"Bent bone of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC"
368,Sodium Fluoride,"Corrosion of unspecified degree of right ankle, sequela"
369,Amlodipine Besylate,"Other osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture"
370,DELPHINIUM STAPHISAGRIA SEED,"Bipolar disorder, current episode manic without psychotic features, severe"
371,"Causticum 12X, Graphites 15X, Lachesis 12X, Lycopodium 12X","Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
372,"Acetaminophen, Diphenhydramine hydrochloride, Phenylephrine hydrochloride","Displaced fracture of intermediate cuneiform of left foot, subsequent encounter for fracture with nonunion"
373,Menthol,"Laceration of right kidney, unspecified degree, initial encounter"
374,PEG-3350 and Electrolytes,"Blister (nonthermal) of left front wall of thorax, sequela"
375,Quetiapine Fumarate,"Other nondisplaced fracture of base of first metacarpal bone, right hand, subsequent encounter for fracture with nonunion"
376,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Contusion of unspecified index finger without damage to nail
377,BENZALKONIUM CHLORIDE,"Toxic effect of other specified inorganic substances, undetermined, initial encounter"
378,TERBUTALINE SULFATE,Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident
379,Levetiracetam,"Displaced fracture of distal phalanx of right lesser toe(s), sequela"
380,Ezetimibe,Acute dacryocystitis of bilateral lacrimal passages
381,Mirtazapine,Other mechanical complication of cranial or spinal infusion catheter
382,KAPOK,"Car occupant (driver) (passenger) injured in unspecified nontraffic accident, initial encounter"
383,Fexofenadine Hydrochloride,"Infection and inflammatory reaction due to other urinary stents, subsequent encounter"
384,Hydrocodone Bitartrate And Acetaminophen,"Coma scale, eyes open, never, in the field [EMT or ambulance]"
385,Homeopathic Liquid,"Unspecified fracture of shaft of left femur, initial encounter for open fracture type I or II"
386,verapamil hydrochloride,"Other physeal fracture of lower end of ulna, right arm, subsequent encounter for fracture with delayed healing"
387,levetiracetam,Somnolence
388,calcitriol,"Nondisplaced fracture of capitate [os magnum] bone, unspecified wrist"
389,Magnesium hydroxide,Injury of unspecified nerve at wrist and hand level of left arm
390,Dextrose,Artificial opening status
391,PredniSONE,"Burn of third degree of unspecified knee, initial encounter"
392,TITANIUM DIOXIDE,"Pathological fracture in neoplastic disease, unspecified ankle, initial encounter for fracture"
393,Pineapple,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm"
394,Losartan Potassium,Non-pressure chronic ulcer of right calf with unspecified severity
395,Guaifenesin,"Nondisplaced spiral fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
396,perampanel,"Nondisplaced transverse fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
397,Hydrastis Canadensis,"Acute chemical otitis externa, left ear"
398,LANSOPRAZOLE,"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle, subsequent encounter"
399,Phenobarbital,"Complete oblique atypical femoral fracture, left leg, sequela"
400,levonorgestrel/ethinyl estradiol tablets and ethinyl estradiol tablets,Corneal ulcer with hypopyon
401,Diclofenac Sodium,Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur
402,cyclobenzaprine hydrochloride,Lacrimal fistula
403,Nicotine Polacrilex,"Displaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with delayed healing"
404,Cilostazol,Toxic effects of petroleum products
405,Tramadol Hydrochloride,Courtyard of prison as the place of occurrence of the external cause
406,Pravastatin Sodium,"Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, sequela"
407,PAROXETINE HYDROCHLORIDE,Eumycetoma
408,Clonidine,"Passenger in three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
409,ETHYL ALCOHOL,"Foreign body granuloma of soft tissue, not elsewhere classified, unspecified ankle and foot"
410,Flecainide Acetate,Personal history of mental and behavioral disorders
411,Camphor (Synthetic) and Menthol,"Chondromalacia, unspecified shoulder"
412,terbinafin hydrochloride,"Nondisplaced oblique fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC"
413,clonidine hydrochloride,"Laceration of unspecified blood vessel at wrist and hand level of unspecified arm, initial encounter"
414,Promethazine Hydrochloride,"Accidental scratch by another person, sequela"
415,Calcitonin Salmon,"Infection following immunization, initial encounter"
416,"OCTINOXATE, TITANIUM DIOXIDE","Laceration of extensor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter"
417,PHENYTOIN SODIUM,"Corrosion of unspecified degree of multiple sites of unspecified ankle and foot, sequela"
418,"Avobenzone, Octinoxate, Octisalate, Octocrylene","Nondisplaced spiral fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
419,Ethyl Alcohol,Nondisplaced fracture of medial phalanx of right lesser toe(s)
420,allopurinol,Malignant neoplasm of oropharynx
421,acitretin,"Laceration of unspecified part of pancreas, unspecified degree, subsequent encounter"
422,Pravastatin sodium,"Puncture wound without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
423,Lorazepam,Unspecified open wound of trachea
424,CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED) and CORYNEBACTERIUM DIPHTHERIAE TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED),Corrosions involving 60-69% of body surface with 40-49% third degree corrosion
425,ROPINIROLE HYDROCHLORIDE,Late congenital syphilitic arthropathy
426,Prednisolone,Subluxation of distal interphalangeal joint of left index finger
427,Pyrithione zinc,"Drowning and submersion after fall into swimming pool, undetermined intent"
428,potato,"Unspecified injury of intrinsic muscle, fascia and tendon of unspecified finger at wrist and hand level, subsequent encounter"
429,"avobenzone, homosalate,octisalate","Toxic effect of formaldehyde, assault, sequela"
430,ARSENIC TRIIODIDE - EUPATORIUM PERFOLIATUM FLOWERING TOP - GELSEMIUM SEMPERVIRENS ROOT,"Laceration of prostate, initial encounter"
431,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate","Nondisplaced fracture of medial cuneiform of unspecified foot, initial encounter for open fracture"
432,rosiglitazone maleate,Other complications of intestine transplant
433,scopolamine,Diabetes mellitus due to underlying condition with other diabetic arthropathy
434,Oxycodone Hydrochloride,"Explosion and rupture of other gas cylinder, subsequent encounter"
435,oxycodone hydrochloride and aspirin,Exposure of implanted ureteral bulking agent into ureter
436,Benazepril Hydrochloride,Problems related to medical facilities and other health care
437,Hyoscyamine Sulfate,Contact with goose
438,Ipratropium Bromide,"Unspecified fracture of right toe(s), subsequent encounter for fracture with delayed healing"
439,Salicylic Acid,"Pathological fracture in neoplastic disease, left radius, subsequent encounter for fracture with nonunion"
440,ACETAMINOPHEN and CODEINE PHOSPHATE,"Strain of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot"
441,ZOLPIDEM TARTRATE,Pedal cycle passenger injured in collision with railway train or railway vehicle in nontraffic accident
442,Bisacodyl,Complete traumatic amputation of scrotum and testis
443,Terazosin Hydrochloride,"Displaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with malunion"
444,chlordiazepoxide hydrochloride,"Displaced fracture of neck of other metacarpal bone, subsequent encounter for fracture with delayed healing"
445,Triclosan,"Pseudopapilledema of optic disc, unspecified eye"
446,Haloperidol,"Partial physeal arrest, left distal femur"
447,Hydroxyzine Hydrochloride,"Corrosion of third degree of right ear [any part, except ear drum], subsequent encounter"
448,Hydroxychloroquine Sulfate,Measles complicated by encephalitis
449,Guinea Pig Epithelium,Lymphocyte function antigen-1 [LFA-1] defect
450,Ibuprofen,"Cardiovascular disorder originating in the perinatal period, unspecified"
451,Lisinopril,"Traumatic rupture of unspecified ligament of left middle finger at metacarpophalangeal and interphalangeal joint, initial encounter"
452,hydromorphone hydrochloride,Unspecified fracture of right acetabulum
453,Titanium Dioxide and Zinc oxide,Toxic effect of aflatoxin and other mycotoxin food contaminants
454,Black Oak,"Maternal care for benign tumor of corpus uteri, unspecified trimester"
455,PULSATILLA,"Pathological fracture in other disease, right ankle, subsequent encounter for fracture with nonunion"
456,methylprednisolone sodium succinate,"Other specified intracranial injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, sequela"
457,"Neomycin sulfate, Polymyxin B Sulfate, and Dexamethasone","Poisoning by oral contraceptives, intentional self-harm, sequela"
458,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate","Maternal care for other abnormalities of pelvic organs, third trimester"
459,Sevoflurane,"Open bite of unspecified wrist, subsequent encounter"
460,phenytoin sodium,"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, sequela"
461,OXYGEN,"Physeal arrest, femur"
462,Fluoride,Perforation due to foreign body accidentally left in body following endoscopic examination
463,"Diphenhydramine citrate, Ibuprofen","Accidental discharge of hunting rifle, subsequent encounter"
464,clarithromycin,Other benign neoplasms of skin
465,ursodiol,"Anterior dislocation of right ulnohumeral joint, initial encounter"
466,pantoprazole sodium,"Infection and inflammatory reaction due to internal fixation device of left tibia, subsequent encounter"
467,DIVALPROEX SODIUM,"Toxic effect of unspecified snake venom, intentional self-harm, initial encounter"
468,Silver,Encounter for screening for lower gastrointestinal disorder
469,not applicable,"Other fall from one level to another due to ice and snow, sequela"
470,Oxymetazoline HCl,"Crushed by other nonvenomous reptiles, subsequent encounter"
471,clonazepam,"Other subluxation of left foot, subsequent encounter"
472,Ibuprofen,"Injury of unspecified nerve at hip and thigh level, unspecified leg, subsequent encounter"
473,cetirizine hydrochloride,"Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident, initial encounter"
474,NIFEDIPINE,Focal chorioretinal inflammation
475,Simethicone,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions"
476,SULFACETAMIDE SODIUM and SULFUR,"Displacement of cystostomy catheter, initial encounter"
477,Lamotrigine,"Nondisplaced dome fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion"
478,Triclosan,Other abnormal products of conception
479,Nicotine Polacrilex,"Maternal care for transverse and oblique lie, not applicable or unspecified"
480,Isopropyl Alcohol,"Juvenile myelomonocytic leukemia, in remission"
481,Sucralfate,Multifocal fibrosclerosis
482,Rifampin,Other specified injuries of unspecified ankle
483,Paroxetine Hydrochloride,Constitutional (pure) red blood cell aplasia
484,Ropinirole Hydrochloride,"Toxic effect of dichloromethane, assault"
485,"Aluminum hydroxide, Magnesium hydroxide, Simethicone","Equatorial staphyloma, unspecified eye"
486,cetirizine hydrochloride,"Other nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture"
487,omeprazole,"Muscle wasting and atrophy, not elsewhere classified, other site"
488,Johnson Grass,"Unspecified fracture of unspecified toe(s), subsequent encounter for fracture with nonunion"
489,"Acetaminophen, Aspirin (NSAID) and Caffeine","Toxic effect of taipan venom, intentional self-harm, sequela"
490,Neurospora intermedia,"Corrosion of first degree of multiple sites of unspecified lower limb, except ankle and foot, sequela"
491,Ethambutol hydrochloride,"Burn of second degree of right upper arm, initial encounter"
492,Salicylic Acid,"Sprain of metacarpophalangeal joint of right index finger, sequela"
493,Ascorbic Acid,Burn of second degree of right knee
494,ibuprofen,"Disorder of amniotic fluid and membranes, unspecified, second trimester, other fetus"
495,"anti-interleukin-1.alpha. immunoglobulin g rabbit, .alpha.-ketoglutaric acid, .alpha.-lipoic acid, apomorphine, bos taurus joint capsule, sus scrofa joint capsule, ascorbic acid, bos taurus adrenal gland, sus scrofa adrenal gland, brain-derived neurotrophic factor human, metenkefalin, ersofermin, bos taurus solar plexus, sus scrofa solar plexus, calcitonin, bos taurus cartilage, sus scrofa cartilage, colchicum autumnale bulb, pork collagen, bos taurus red blood cell, sus scrofa red blood cell",Alcoholic hepatic failure without coma
496,Ribavirin,Unspecified juvenile rheumatoid arthritis of elbow
497,"Chlorpheniramine maleate, Phenylephrine HCl",Neoplasm of uncertain behavior of connective and other soft tissue
498,Baclofen,"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified"
499,ALCOHOL,"Familial chondrocalcinosis, unspecified hand"
500,PNV Ferrous Fumarate Docusate Folic Acid,"Displaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with nonunion"
501,"ZINC OXIDE, TITANIUM DIOXIDE","Pressure ulcer of unspecified elbow, stage 2"
502,Bisoprolol Fumarate,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
503,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate","Aneurysmal bone cyst, thigh"
504,ZIPRASIDONE HYDROCHLORIDE,"Unspecified Zone I fracture of sacrum, initial encounter for open fracture"
505,Acyclovir,"Toxic effect of harmful algae and algae toxins, intentional self-harm"
506,metformin hydrochloride,"Corrosion of second degree of left palm, subsequent encounter"
507,Lisinopril and Hydrochlorothiazide,"Pressure ulcer of unspecified hip, unspecified stage"
508,Ibuprofen,"Pathological fracture in neoplastic disease, left hand, subsequent encounter for fracture with routine healing"
509,"bacitracin zinc,neomycin sulfate, polymyxin b sulfate, pramoxine hcl","Poisoning by other antiprotozoal drugs, assault, subsequent encounter"
510,Esomeprazole strontium,"Unspecified sprain of right foot, sequela"
511,DOLICHOVESPULA ARENARIA VENOM PROTEIN,"Partial traumatic amputation of left midfoot, initial encounter"
512,"linseed oil, evening primrose oil and bilberry",Other disorders of brain in diseases classified elsewhere
513,DIGOXIN,Retained (nonmagnetic) (old) foreign body in iris or ciliary body
514,Alternaria tenuis A alternata,Explosion of unspecified explosive materials
515,Metoclopramide Hydrochloride,"Poisoning by peripheral vasodilators, assault, sequela"
516,Hetastarch in Sodium Chloride,Burn of first degree of left axilla
517,Acetaminophen,"Salter-Harris Type IV physeal fracture of lower end of humerus, left arm, sequela"
518,Sulfamethoxazole and Trimethoprim,"Unspecified occupant of bus injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
519,LEVOFLOXACIN,Passenger in three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
520,Acetaminophen,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type I or II"
521,atorvastatin calcium,"Greenstick fracture of shaft of right ulna, subsequent encounter for fracture with malunion"
522,Ceftriaxone Sodium,"Nondisplaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with malunion"
523,Serotonin,"Labor and delivery complicated by other cord entanglement, without compression, fetus 4"
524,ARIPIPRAZOLE,Antepartum hemorrhage with disseminated intravascular coagulation
525,GENTAMICIN,"Partial traumatic amputation of right great toe, initial encounter"
526,Phenylephrine HCl,"Burn of cornea and conjunctival sac, right eye"
527,calcium carbonate,"Poisoning by salicylates, accidental (unintentional), initial encounter"
528,"Alfalfa, Ambra grisea, Anacardium orientale, Argentum nitricum, Aurum metallicum, Avena sativa, Caladium seguinum, Calcarea carbonica, Cocculus indicus, Gelsemium sempervirens, Ignatia amara, Kali phosphoricum, Lycopodium clavatum, Natrum muriaticum, Nux vomica, Phosphoricum acidum, Phosphorus, Selenium metallicum, Sepia, Silicea, Sulphur","Displaced fracture of left radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
529,levonorgestrel and ethinyl estradiol,"Displaced simple supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with routine healing"
530,Sorbitol,"Unspecified injury of left foot, initial encounter"
531,fexofenadine hydrochloride,"Displaced avulsion fracture of tuberosity of right calcaneus, subsequent encounter for fracture with nonunion"
532,HYPROMELLOSE 2208 (15000 MPA.S),"Other dislocation of unspecified ulnohumeral joint, sequela"
533,Homosalate and Octisalate and Octocrylene and Avobenzone,"Laceration without foreign body of lip, sequela"
534,Titanium Dioxide and Octinoxate,"Stress fracture, left shoulder, initial encounter for fracture"
535,Acetaminophen,"Poisoning by stimulant laxatives, accidental (unintentional), sequela"
536,Midazolam,Complex regional pain syndrome I of unspecified lower limb
537,risperidone,"Major laceration of right vertebral artery, initial encounter"
538,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate","Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, subsequent encounter"
539,magnesium hydroxide,"Malignant neoplasm of lip, unspecified"
540,Sotalol Hydrochloride,"Barton's fracture of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
541,Candesartan cilexetil,"Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing"
542,furosemide,"Passenger in three-wheeled motor vehicle injured in noncollision transport accident in traffic accident, subsequent encounter"
543,Bethanechol Chloride,"Nondisplaced fracture of body of hamate [unciform] bone, left wrist"
544,vecuronium bromide,Other Rh incompatibility reaction due to transfusion of blood or blood products
545,Loperamide Hydrochloride,"Split foot, bilateral"
546,"Oak,","Laceration without foreign body of right middle finger without damage to nail, sequela"
547,Acetazolamide,Postpartum hemorrhage
548,candida albicans,"Sprain of metacarpophalangeal joint of left little finger, subsequent encounter"
549,populus nigra pollen,"Displaced fracture of distal phalanx of right middle finger, subsequent encounter for fracture with routine healing"
550,"Neomycin sulfate, Polymyxin B Sulfate and Hydrocortisone","Poisoning by other narcotics, intentional self-harm"
551,CAFFEINE CITRATE,Allergy status to other antibiotic agents status
552,warfarin sodium,"Nondisplaced fracture of body of hamate [unciform] bone, left wrist, subsequent encounter for fracture with delayed healing"
553,"Acetaminophen, Diphenhydramine HCl","Poisoning by other hormones and synthetic substitutes, assault, subsequent encounter"
554,Western Cottonwood,Burn of unspecified degree of right ankle
555,Levobunolol Hydrochloride,"Foreign body in other parts of genitourinary tract, sequela"
556,Cefdinir,"Burn of first degree of female genital region, subsequent encounter"
557,Duloxetine,Personal history of malignant neoplasm of testis
558,ETOMIDATE,"Burn due to fishing boat on fire, initial encounter"
559,Valacyclovir Hydrochloride,"Exposure to other man-made environmental factors, initial encounter"
560,Titanium dioxide,"Unspecified injury of other blood vessels at ankle and foot level, unspecified leg, subsequent encounter"
561,naproxen,Patellar tendinitis
562,Disulfiram,"Otitis media, unspecified, unspecified ear"
563,pramipexole dihydrochloride,"Displacement of umbrella device, subsequent encounter"
564,Cyproheptadine Hydrochloride,"Unspecified pre-eclampsia, unspecified trimester"
565,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",Morbid (severe) obesity due to excess calories
566,Wheat Bunt,"Burn of unspecified degree of unspecified knee, subsequent encounter"
567,Buspirone hydrochloride,"Struck by orca, initial encounter"
568,"Dextran, Polyethylene Glycol, Povidone, Tetrahydrozoline Hydrochloride","Other injury of extensor muscle, fascia and tendon of right little finger at forearm level, subsequent encounter"
569,Clotrimazole,"Blister (nonthermal) of right middle finger, subsequent encounter"
570,Levetiracetam,Connective tissue stenosis of neural canal of pelvic region
571,SODIUM BICARBONATE,"Passenger on bus injured in collision with other motor vehicles in traffic accident, initial encounter"
572,"Titanium Dioxide, Zinc Oxide, and Octinoxate",Undue concern and preoccupation with stressful events
573,Cimetidine,Traumatic rupture of right ear drum
574,Glyburide,"Laceration without foreign body of right great toe without damage to nail, subsequent encounter"
575,methylprednisolone sodium succinate,"Salter-Harris Type IV physeal fracture of lower end of radius, left arm"
576,pentosan polysulfate sodium,"Upper abdominal pain, unspecified"
577,Titanium dioxide,Laceration of ulnar artery at wrist and hand level
578,Zafirlukast,"Laceration with foreign body, right knee, initial encounter"
579,Rye,"Laceration with foreign body of vocal cord, initial encounter"
580,Sulfamethoxazole and Trimethoprim,"Injury of other nerves at hip and thigh level, left leg"
581,Periplaneta americana,Acute embolism and thrombosis of unspecified vein
582,TITANIUM DIOXIDE,"Other fracture of lower end of right ulna, subsequent encounter for open fracture type I or II with delayed healing"
583,Lamotrigine,"Oculocutaneous albinism, unspecified"
584,ORRIS,Carcinoma in situ of skin of unspecified part of face
585,paroxetine hydrochloride,Laceration of unspecified blood vessel at lower leg level
586,panthenol,"Superficial foreign body of left back wall of thorax, sequela"
587,ETHYL ALCOHOL,"Maternal care for intrauterine death, fetus 5"
588,Sodium fluoride,"Other fracture of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing"
589,Methocarbamol,"Insect bite (nonvenomous) of unspecified ear, subsequent encounter"
590,nicotine polacrilex,"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
591,lorazepam,"Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, right leg, subsequent encounter"
592,"ZINC UNDECYLENATE, UNDECYLENIC ACID","Myocarditis, unspecified"
593,Lamotrigine,Arteriovenous malformation of renal vessel
594,"SILVER NITRATE,ACONITUM NAPELLUS,GELSEMIUM SEMPERVIRENS ROOT, STRYCHNOS IGNATII SEED,POTASSIUM PHOSPHATE, DIBASIC,SILICON DIOXIDE",Corrosion of first degree of right axilla
595,montelukast sodium,"Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing"
